puzzle_id,fen,solution_move,rating
03URI,3n2rk/pp4p1/3qp1Qp/6r1/2p3N1/1P5P/PB3PP1/5RK1 w - - 6 31,g6h6,1525
03Zm1,8/2p4R/1p3p2/p1b1pNk1/6P1/1PP2PK1/P2r4/8 w - - 3 37,h7g7,1765
03h6T,r2rb2k/ppq4p/1np2NpQ/4Pp2/5P2/1P4P1/P5BP/2R2RK1 w - - 2 24,h6f8,1613
03n3d,8/p7/8/8/8/1P1KpR2/1r6/3k4 w - - 6 54,f3f1,1618
03pLv,8/5n2/p3p3/1p6/1Pk3N1/2P4p/P2K1P2/8 w - - 0 45,g4e3,1573
03pyC,3r2k1/p2b2p1/2nq1bP1/1p1p1p1Q/2pPpP2/P1P1P3/1P4P1/R1B1K2R w KQ - 1 21,h5h8,1505
03zSt,r4r1k/1pq1p2n/2p3Q1/p2pNb2/P2P3R/1PP1P2P/6P1/R5K1 w - - 5 25,h4h7,1620
0421L,r7/p7/bp2NQpk/2p5/3p4/3P4/PPP1K2P/2q5 w - - 1 40,f6h4,1571
043tp,r1b2r2/1pq2p2/p1p2k2/8/3b4/3B2P1/PPPQ2KP/4R3 w - - 2 24,d2h6,1695
0449V,4r3/6pp/1n5k/1p2PP2/2p2K2/8/8/6R1 w - - 0 69,g1h1,1724
047Qs,3r3r/3kq1pp/1Q3p2/3pp3/P7/2R1PP2/3P1P1P/6K1 w - - 1 24,b6c6,1698
04S2V,rn4k1/p1p3pp/1p1pp2r/5p1q/2PP4/B1PBP3/P2Q1PKP/6RR b - - 8 17,h5h3,1549
04fcx,2r3r1/1p1k1p1p/p3pPp1/3P4/8/Q7/PP3PPP/2qR2K1 w - - 0 25,a3e7,1577
04vB5,7k/ppp3p1/1bn3Qp/8/1q2B3/2NP2PP/PPP4K/5r2 w - - 0 21,g6h7,1594
04vD0,4rrk1/pb1nqppp/1p6/3p4/2pP4/P1P2Pn1/1PQ1N1PP/RB3RK1 w - - 0 19,c2h7,1523
052F6,r1b2r2/2q2p1p/p1n1pkpQ/1pp1n3/3pPB2/3B4/PPP2PPP/R3R1K1 w - - 0 19,f4g5,1501
052IQ,5k2/4pp2/8/1P1P4/4P2n/6p1/4Nr2/3RK3 b - - 3 47,h4f3,1571
056MT,1rr3k1/2qN1p2/b3p1pQ/n1p5/P1P2P2/P3P2R/1b4PP/R5K1 w - - 0 24,h6h7,1621
058j3,rn3rk1/pp6/3pbq1p/2p4P/2P3BP/2P1P3/P2N4/R2QK2R b KQ - 0 19,f6f2,1520
05Ajc,r3k3/ppp2p1p/3p4/3N3Q/4P2b/3PB3/PPP2qrP/R2K3R b q - 6 16,f2c2,1630
05BHN,r1n1kr2/pbpq2p1/1pn1p2p/3pP3/3P4/B1PB4/P1P3PP/R4RK1 w q - 0 16,f1f8,1565
05OIA,5n2/p3n2Q/2p2q2/2PpN1Np/3P1k2/8/P4PK1/8 w - - 0 40,g5h3,1669
05RL9,r5k1/pb3pp1/1p2p2p/8/3N1Qn1/4P1q1/PP4P1/2RR2K1 b - - 5 29,g3g2,1570
05RM7,3kr3/BBpn2p1/1p3p2/2b1N2q/5Pb1/3Qn3/PPP2R1P/6K1 w - - 0 27,e5c6,1712
05StG,r2q1r1k/pp2b1pp/8/2p1Np2/2BpP3/P2P4/2P2PK1/R1Bb3R w - - 0 18,e5g6,1552
05i3I,6rk/2R4p/8/2Q2q2/7K/6P1/7P/8 b - - 0 46,f5g4,1768
05kaR,r4r1k/1pp1q1p1/p1np2PB/4p1bQ/1P2P3/1BPP3P/P4P1K/R7 w - - 1 24,h6g5,1610
05pYW,2k4r/pppr1pp1/5bp1/3qn3/4p1B1/PP2P3/1BQP1PPP/2R1K2R w K - 8 18,c2c7,1679
06Jy4,r5k1/pbp3pp/1p1ppr2/5p1q/2PPn3/P1PBP2P/1BQ2RPN/6RK b - - 0 18,e4g3,1587
06Odi,1R2r1r1/3kb3/b7/q3P3/2QPN1P1/5N1P/2P1K3/8 w - - 1 32,e5e6,1634
06kcu,2B3k1/4ppbp/pq4p1/4P3/3r1P2/P4R2/1P2Q1PP/R5K1 b - - 0 21,d4d1,1530
06ndm,4k1r1/5p2/p2pbB2/1p1r1q2/1P5p/2Q5/1P3PPP/4R1K1 w - - 0 28,c3c8,1687
00zqB,3r1rk1/pp6/5pb1/5q2/2p5/P2P4/1PP4Q/2K3RR w - - 0 28,h2h7,1809
01a5v,4r2k/R7/1p6/5pPp/3P3K/4P3/PP2QPq1/2R5 b - - 0 32,g2h2,1885
020Gj,r4r1k/ppp1N1pp/1b1p1p2/8/4B3/2P2q1b/P1QB1P1P/R3R1K1 b - - 1 21,b6f2,1955
04OzC,8/5kpp/pp1Q1p2/8/P2P4/1P3P2/2r1q2N/1R2R2K b - - 0 35,e2g2,1827
04cDV,r6r/pp2kppp/4nq2/1B6/8/2b3QP/P4PP1/3R1RK1 w - - 0 19,g3d6,1924
04hNd,8/7p/2p5/5pQ1/4p3/3q1kPP/3P1P2/6K1 w - - 3 36,g5h5,1977
05CzU,r5k1/pb1p1R1p/1p4pB/1P6/2Bbq3/8/P5PP/2R4K w - - 1 28,f7f8,1818
05V7Z,Bn2r1k1/p4ppp/3p4/2p3bP/3p2P1/1P1Q4/1PP1NN1q/R3K3 b Q - 1 21,h2g1,1819
06CZp,2kr3r/pppbq3/2np4/2bB1P1p/PP4pP/2PP4/6PK/RNBQ1R2 b - - 0 16,e7h4,1856
07mts,6k1/pbp2pp1/3p3p/2p5/2P3nB/1P5P/PQP3r1/4RK2 b - - 1 24,g4h2,1835
089y1,3r2k1/1p3ppp/3Np3/P1B1P3/1Q2qP2/5n2/5PRP/5K2 b - - 1 29,e4d3,1860
09CMV,k1r2Q2/6q1/K1pQ1R2/p6p/P1P5/1P6/8/8 b - - 0 59,g7a7,1944
09kAc,8/7p/5Qpk/p7/P3BP2/4n1PK/4q2P/8 b - - 0 49,e2g4,1965
09nQI,6k1/8/4p2p/2b1P3/1p6/5qNp/PR3Q1B/6K1 b - - 4 36,f3g2,1989
09tTn,8/1p4R1/1Bnk3p/3p1B2/rb5P/3P1b2/4rP2/1KR5 w - - 0 28,b6c7,1844
0ADTm,r2q1r1k/pp1nb2p/2b1pnB1/3pB2Q/8/2P1P1N1/PP3PPP/R4RK1 w - - 3 18,h5h7,1835
0Ankb,7r/6p1/3p1k1p/3Qr3/3Bn3/2P4P/PP3PPq/R3RK2 b - - 2 27,e4d2,1806
0BOuo,2Q5/p7/5p2/4k3/P1Bq4/6P1/6PK/1q6 w - - 0 51,c8e6,1849
0BYEC,8/1pQR2pk/p3p3/4B2p/1PP1P2q/P3b1N1/5rP1/6K1 b - - 5 29,f2f4,1854
0CAJl,1Q6/8/4p1k1/6P1/1PpP3P/2K5/8/5q2 b - - 0 44,f1c1,1801
0CI2T,r1bq1rk1/pp6/2pb2p1/3p3Q/8/1P2P2P/PBP2PPn/RN3RK1 w - - 0 16,h5g6,1813
0Ct8C,8/1R3nk1/n2p1N2/3P1pP1/2p4P/r7/6B1/7K w - - 0 37,f6h5,2098
0DybW,8/8/ppn4p/2p2p2/N1K1k3/1PP4P/P4PP1/8 b - - 1 36,c6e5,1873
0Eq1u,3Q3R/2p2pp1/3pb2p/7k/pp1bq3/5N1P/1P4P1/7K w - - 2 42,d8g5,2076
0GbDM,r6r/1pp1qkpp/5n2/3P1b2/pbPN4/N2n1P2/PPK3PP/R1BQ1B1R b - - 1 15,d3e1,1943
0H6MP,r1bk1r2/3n1pP1/pp2pq2/1Np3p1/2P5/2P5/P3BPPP/3RK2R w K - 0 18,g7f8q,1805
0H8LG,2k1r3/ppp2ppp/b7/3N4/P2P1b2/1B2rP2/1PPK2PP/R2R4 b - - 0 21,e3d3,2054
0HLBT,8/Qp2k3/2p1n1np/3p4/6P1/3N1KBP/PPPq4/8 b - - 2 45,e6g5,1870
0HtsP,r2q1rk1/pp2b3/8/4B1pQ/3p4/3P3b/PP4PP/R5K1 w - - 0 23,h5g6,1849
0HunK,8/p4pp1/1p1Q4/1b2Ppk1/1K5R/P2q2P1/7P/8 b - - 1 41,a7a5,1970
0InOi,2rq1r2/3kpQ2/3p4/pNn1p3/PpB4p/1P5P/2P3P1/3R3K w - - 2 24,d1d6,1806
0JK5u,8/2Q2pp1/5k2/p3pPq1/2pp1nB1/Pr1P2K1/5P2/7R w - - 3 41,c7d8,1909
0JyS1,r4rk1/p5pp/1p1b1p2/2pP4/P1P1PP2/7q/2Q2P1P/R1B2R1K b - - 0 20,h3f1,1952
0KDAM,2r3k1/5p2/p3pQN1/1p1pPn2/q7/P2R3P/8/2r3RK w - - 1 46,f6h8,1812
0Kq9V,3Q4/R3pk1p/6p1/3N2p1/4n1K1/7P/1P4P1/5r2 b - - 0 40,h7h5,1838
0LyGl,r1b1k3/pppp1pp1/7B/1B2bP2/4P3/3Q3p/PPP1NP1q/R3RK2 b q - 0 20,h2g2,1862
0MekL,r1bk1b1r/2qn1ppp/3p1n2/p2P1NB1/1p3P2/3BQ3/PPP3PP/2KRR3 w - - 0 16,e3e8,1819
0MhQo,r7/8/5N2/3nP3/4N3/6P1/3QK1k1/q7 b - - 5 52,a1f1,2012
0MjtQ,2r1k2r/4ppb1/p2p3p/qp1R1p2/4PPP1/4Q3/PPP4P/1K3BR1 w k - 0 17,g4f5,1815
0N6ET,8/3kpp1p/1r4p1/r2PK3/P2R1PPP/8/8/2R5 b - - 2 47,b6e6,1873
0ND4d,r1bqrbk1/pp4B1/2p2pQ1/4nN2/3P4/2P5/PP3PPP/R4RK1 w - - 9 19,f5h6,1843
0Ny25,3r3k/1b2Q2p/p5p1/1p2Pp2/5P1P/P7/BP3qP1/7K w - - 0 36,e7f6,1947
0O3Jh,r3kbnr/pp2pppp/2p5/3p1b2/2PP1B1N/NQ1n4/PPK1PPPP/R3qB1R b kq - 7 9,d3b4,1845
0O55I,6R1/p2Q3p/1b2pp2/8/4kPP1/1P2P3/P1KP3r/5q2 w - - 1 44,d7c6,1961
0OTQL,3k4/1p6/1Pp2p2/2P2B2/2qP3P/K2Q4/3b4/8 b - - 6 47,d2c1,1813
0Px2t,8/1b6/p4Q2/1p2Pppk/1P4Pp/3B3P/P1PN3K/4q3 b - g3 0 36,h4g3,1809
0QcwE,r1bqr1k1/pp3pp1/8/2pN4/2n2Pnp/P2P1K2/BPP1N1P1/R1BQ1R2 b - - 2 16,d8d5,1830
0ShLA,5k2/4bp2/pn3Q2/1p1p2Nr/4p3/1P6/P4PK1/3q2R1 w - - 2 38,f6f7,1802
0TRiV,8/8/3B3R/1p1RPkP1/pP2N2P/P7/K7/2r1r3 b - b3 0 43,c1c2,1805
0TuYc,2R5/2Q3pk/3qp3/5p1p/7P/5P1K/3r4/2R5 b - - 0 44,d2h2,1813
0UEEc,7k/3q4/6Kp/7Q/8/5P2/8/8 b - - 11 44,d7e6,1967
0VB7d,r2q4/pp3k1B/1bp2pnB/3p3P/3P2b1/2P2N2/P4PP1/4R1K1 w - - 0 22,h5g6,1937
0Wmcy,8/1p5p/p1pR3P/2PP4/1PK5/1P3r2/3k4/8 b - - 0 60,f3f4,1834
0a1a2,6k1/1p4p1/p4p2/3p3K/3Q1N1P/4PPP1/1Bq5/5b2 b - - 0 38,c2f5,1855
0aZ41,4r2k/1r3R1p/p1p1qNpB/1pb1P3/8/8/PPP2PPP/4R1K1 w - - 0 24,h6g7,1830
0aoSM,r5k1/1p4pp/4P1bb/pB1p1N2/P7/1PPK2P1/5r1P/4R2R b - - 2 26,f2d2,1948
0brVJ,5k2/3R2pp/3P4/3Bp3/3n4/6P1/3r3P/6K1 w - - 3 36,d7d8,1856
0clYh,1R6/6pk/7p/2p1B3/1pb1n3/5N1P/P1P1r3/2RK4 b - - 5 36,e4f2,1804
0dDTk,5r2/p6p/5k2/4qp2/8/1B4R1/P3np1K/2Q5 w - - 4 39,c1g5,1868
0eEqh,rnb1k2r/pppp2Qp/4p3/4P3/3Pq3/2n3P1/P1P2K1P/R1B2BNR b kq - 2 11,c3d1,1849
0E0A7,6k1/P6p/Q2pr1pb/5p2/7P/R1BK4/2P2P2/7q b - - 5 28,h1e4,2251
0jbFz,8/pBP3q1/1pR1b3/3k1p2/3P2p1/P2KP1P1/r7/8 w - - 0 31,c6b6,2352
10zNv,r7/5pp1/pN1k1n2/3B3P/2K5/3nP3/Pq5P/2RQ3R b - - 0 27,d3e5,2103
1FiHK,r4rk1/ppq2pBp/2pbp3/8/2B5/2nP3P/PPPnRP2/6RK w - - 0 19,g7e5,2258
1Jlf5,r3k1r1/ppp2p1p/2n1bQ2/1B1pP1B1/3P2q1/2P5/P1P3pP/R5K1 w q - 7 18,f6e7,2110
1Ptzx,1r3Nk1/pb4p1/5p2/2p1pB1p/5n2/3P2P1/PPP1NP1P/R1B2RK1 b - - 0 23,f4e2,2165
1dWui,r3r1k1/1b2pp2/p2p2pB/q1p5/4P1P1/1BP2n2/P1P4Q/2KR3R w - - 0 20,h2f4,2191
1eCxe,r6r/5p2/p2N1Rp1/4k1B1/1q2n1p1/1Pp4P/P1P3P1/1K1R4 w - - 0 30,d6f7,2102
1iKO1,6R1/pp1rk3/2n4p/2pn1N2/5B2/3p4/PPb2PP1/2R1K3 b - - 7 23,e7e6,2279
1nech,r1b5/3n3R/2p2p2/p4P2/qp1P4/1k2P3/5PQ1/1NK5 w - - 0 33,g2g8,2412
1yIqt,6k1/1p4p1/5n1p/p4QP1/3p1K1P/1P1N1P2/P7/6q1 b - - 2 43,g1h2,2173
2Jswp,qB1k3r/N3bpp1/6p1/3p4/2rP4/8/P1P2PPP/1Q2R1K1 b - - 0 22,e7b4,2273
2OoaI,1k1r3r/pp3ppp/3qpn2/4n1N1/PP3Q2/2N5/2P3PP/RR5K w - - 3 19,c3b5,2162
2Q0iF,8/3p4/2p1kP2/2P1P2b/4K2p/4P2N/6p1/8 w - - 0 54,h3g5,2214
2aRyM,r6r/pp4k1/3pb1p1/q3Np2/2PRn3/4Q3/PP2B1PP/2K3R1 w - - 3 23,e5g6,2235
2b8LL,1R6/p3rkp1/3r1bNp/5p2/8/2n2N2/5PPP/4R1K1 w - - 5 37,g6h8,2136
2c4bk,rn2k2r/pQp1nppp/2q5/8/2Bb4/8/PP1N2PP/R1BKR3 w kq - 6 15,b7c8,2143
2j6zI,r3r1k1/pp1b2pp/8/3pPpN1/2n5/q1PB1P2/2Q3PP/2R1R1K1 w - - 1 20,d3f5,2472
2zZ6K,5rr1/p3k3/8/2N1pn2/1PP4p/3PRK2/P2R2PP/8 b - - 0 28,f5g3,2265
3FTDL,r1bqkb1r/pppp1ppp/2n5/8/2B1np2/2N2N2/PPPP2PP/R1BQK2R w KQkq - 0 6,d1e2,2300
3lqli,6k1/1b6/4pPp1/6Qp/5P2/6KR/3q3P/8 b - - 7 41,d2e1,2100
3vjn8,r1b2rk1/pppp1p2/3q1Npp/2b1p3/2BnP2N/3P1Q2/PPP2PPP/R3K2R b KQ - 3 11,g8h8,2261
4JfID,3Q4/7p/p5pk/P2Pp3/1R2K3/7P/8/3q4 b - - 27 52,d1e2,2218
54ebA,5k2/2p2p1p/1bp3p1/1p2Q1Bn/1P1P4/2q5/5PPP/6K1 w - - 3 29,e5h8,2139
6E6qB,r6r/pb2kppp/1p2pn2/1Bp5/4q3/6Q1/PPP2PPP/R2R2K1 w - - 0 18,g3d6,2131
